Date,Open,High,Low,Close,Adj Close,Volume
12/08/02,38.724998,40,38.724998,39.700001,29.46261,212976
13/08/02,39.75,40.387501,38.875,39.162498,29.063698,153576
14/08/02,39.25,39.25,35.724998,36.462502,27.059959,822776
15/08/02,36.462502,36.462502,36.462502,36.462502,27.059959,0
16/08/02,36.275002,38,35.75,36.375,26.99502,811856
19/08/02,36.674999,36.674999,35.137501,35.474998,26.327097,205880
20/08/02,35.724998,38.724998,35.487499,36.462502,27.059959,3773624
21/08/02,38.474998,39.200001,36.525002,38.25,28.386511,3011064
22/08/02,39.512501,41.575001,39.3125,39.900002,29.611023,6732480
23/08/02,40.25,43.625,39.762501,42.299999,31.392145,4841672
26/08/02,42.974998,43.25,41.8125,42.150002,31.280828,2576912
27/08/02,42.5,44.25,40.75,41.099998,30.501572,3694224
28/08/02,40.974998,41.599998,40.287498,41.137501,30.529411,1674960
29/08/02,40.887501,41.875,40.75,41.137501,30.529411,1236544
30/08/02,41.262501,45.125,41.25,44.049999,32.690868,3762384
02/09/02,44.75,45.974998,44.049999,44.5,33.02483,2389568
03/09/02,44.75,44.9375,42,42.412498,31.475634,986784
04/09/02,41.875,43.75,41.387501,43.337502,32.162094,1449856
05/09/02,44.662498,44.862499,42.5,43.075001,31.967293,1061360
06/09/02,43.25,43.25,41.012501,41.474998,30.779882,907472
09/09/02,39.5,42.6875,39.5,40.9375,30.380985,880848
10/09/02,40.9375,40.9375,40.9375,40.9375,30.380985,0
11/09/02,41.162498,42.700001,41.162498,41.974998,31.150946,635936
12/09/02,42.487499,43.224998,41.900002,42.1875,31.308649,781968
13/09/02,40.712502,42.224998,40.637501,40.987499,30.418093,338264
16/09/02,41.375,41.599998,39.875,40.1875,29.824381,288592
17/09/02,40.912498,41.625,40.775002,41.362499,30.696402,462952
18/09/02,41.125,41.25,39.75,40.087502,29.750181,315432
19/09/02,39.75,41.075001,39.25,39.75,29.499706,490848
20/09/02,38.325001,39.674999,38.162498,39.099998,29.01733,501072
23/09/02,39.375,39.474998,38.275002,38.4375,28.525667,248504
24/09/02,38.299999,38.299999,36.724998,37.137501,27.560886,267912
25/09/02,36.275002,37.75,36,37.424999,27.774256,379544
26/09/02,38.200001,38.612499,37.75,38.012501,28.210257,178136
27/09/02,37.887501,39,37.887501,38.474998,28.553493,206288
30/09/02,37.887501,38.474998,36.275002,37.075001,27.514503,202232
01/10/02,37.25,37.75,36.125,36.762501,27.282583,240192
02/10/02,36.762501,36.762501,36.762501,36.762501,27.282583,0
03/10/02,37.25,39.75,37.25,37.75,28.015444,673264
04/10/02,38.25,38.362499,37.125,37.512501,27.839184,258296
07/10/02,37.762501,38,37.025002,37.349998,27.718588,110976
08/10/02,37.462502,38.724998,37.25,38.362499,28.470001,227352
09/10/02,38.5,39.112499,37.0625,37.387501,27.746418,277040
10/10/02,38.5,38.5,36.637501,37.424999,27.774256,173224
11/10/02,38.474998,38.9375,38.112499,38.212502,28.358686,192536
14/10/02,38.924999,39,37.575001,37.9375,28.1546,152744
15/10/02,37.9375,37.9375,37.9375,37.9375,28.1546,0
16/10/02,42.775002,42.775002,37.775002,38.012501,28.210257,247760
17/10/02,38.25,38.25,37.525002,38.012501,28.210257,144512
18/10/02,38.75,39.924999,38.287498,38.8125,28.803957,512312
21/10/02,39.724998,40.737499,39.25,39.412498,29.24925,646296
22/10/02,39.75,39.75,37.75,37.987499,28.191698,229384
23/10/02,38.25,38.700001,37.525002,37.8125,28.061829,153320
24/10/02,38.224998,38.349998,36.900002,37.150002,27.570162,168744
25/10/02,36.5,37.087502,36.275002,36.387501,27.004299,172296
28/10/02,36.125,36.5,35.549999,35.849998,26.605391,134504
29/10/02,35.75,36.450001,35.549999,36.162498,26.837313,143024
30/10/02,36.5,37.4375,36.25,36.775002,27.291861,164320
31/10/02,37,37.5,36.799999,37.349998,27.718588,118928
01/11/02,37.525002,38.150002,36.762501,36.962502,27.431026,108792
04/11/02,37.5,37.5,36.950001,37.237499,27.635101,56560
05/11/02,36.887501,37.325001,36.599998,36.837502,27.338249,70288
06/11/02,36.837502,36.837502,36.837502,36.837502,27.338249,0
07/11/02,37.5,39.5,37.5,37.974998,28.182421,204880
08/11/02,37.25,37.737499,37.025002,37.3125,27.690765,77664
11/11/02,37.5,37.5,36.674999,36.75,27.273314,66568
12/11/02,36.5,37.5,36.5,36.9375,27.412466,106864
13/11/02,37.125,37.224998,36.424999,36.625,27.18055,106264
14/11/02,37.200001,37.900002,36.637501,37.125,27.551617,211856
15/11/02,37.950001,38.162498,37.5,37.924999,28.145327,154144
18/11/02,38.25,38.737499,37.837502,38.3125,28.432901,217672
19/11/02,38.3125,38.3125,38.3125,38.3125,28.432901,0
20/11/02,38.25,39.875,38.25,39.575001,29.369831,406128
21/11/02,40.3125,44.724998,40.3125,43,31.91164,2664024
22/11/02,41.387501,45.174999,41.387501,42.337502,31.419977,1184016
25/11/02,42.75,43.200001,41.75,42.262501,31.364315,428920
26/11/02,42.625,43.450001,41.775002,42.012501,31.178785,367496
27/11/02,42.75,42.75,40.887501,41.125,30.520138,301128
28/11/02,41.525002,43.724998,41.512501,42.799999,31.763206,447680
29/11/02,42.799999,42.799999,42.799999,42.799999,31.763206,0
02/12/02,44.875,49,44.474998,47.387501,35.167732,1388680
03/12/02,48.5,52.424999,46.775002,50.099998,37.180756,4082608
04/12/02,49.224998,51.1875,47.762501,48.424999,35.937691,2594928
05/12/02,48.125,51.112499,48.125,49.650002,36.846806,1720264
06/12/02,50.5,51.674999,49.637501,50.950001,37.811573,1139968
